Episode,A2C_Reward,A2C_Moving_Average,A3C_Reward,A3C_Moving_Average
1,-7.732091082316888,-7.732091082316888,-9.634820241605265,-9.634820241605265
2,-7.74623843414649,-7.73916475823169,-7.439277025074058,-8.537048633339662
3,-4.938635365079315,-6.805654960514231,-3.514287718161032,-6.8627949949467855
4,-1.973789268755795,-5.597688537574622,-2.081420684189025,-5.667451417257345
5,-4.296916765781342,-5.337534183215967,-1.525956900267167,-4.839152513859309
6,-3.1299172163152424,-4.9695980220658456,0.30029288889103656,-3.9825782800675853
7,1.6381831174182169,-4.025629287853836,3.8264242169355343,-2.867006494781425
8,1.1292330868522844,-3.3812714910155712,2.164263139095678,-2.2380977905467874
9,-0.25792703015348584,-3.0342332175864506,5.577239536918559,-1.369726976383971
10,2.823783703541964,-2.4484315254736093,5.742136465222282,-0.6585406322233457
11,1.8394800422025313,-2.0586213829575963,7.115739465948827,0.048212103974124544
12,2.8316467564483023,-1.6510990380071051,10.714735068515878,0.9370890176859374
13,5.2122004502968045,-1.1231529235221889,11.57201403575733,1.7551601729221984
14,1.834621335565207,-0.911883333587375,12.834687186747189,2.5465549596239834
15,3.1114696426135895,-0.6436598018406439,14.914880337661028,3.3711099848264534
16,6.303681666999775,-0.20945096003811775,13.936121840631971,4.031423225814298
17,6.236117618266302,0.16970013280331872,16.225727449279276,4.748735238959297
18,9.690249942736202,0.6986195666884788,15.666299036842917,5.355266561063942
19,8.012154591539838,1.083542462733287,17.8338157781767,6.012032309333034
20,7.736675215009775,1.4161991003471115,18.11246203131341,6.617053795432054
21,14.192593815904685,2.51243334525819,19.511994268180597,8.074394520921347
22,11.477132914940052,3.4736019127125175,21.335195645307863,9.513118154440443
23,12.69908735584527,4.355488048758747,19.872297143841717,10.682447397540582
24,10.318553053840493,4.970105164888561,25.724350696030097,12.072735966551537
25,12.652825052845918,5.817592255819924,21.32599480627212,13.215333551878501
26,14.50747709370401,6.699461971320886,21.80675718270581,14.290656766569239
27,12.499287035269214,7.242517167213437,26.6409226584312,15.43138168864402
28,16.04113039497684,7.988112032619665,26.786771079485955,16.662507085663535
29,14.551061455579926,8.728561456906334,27.239330435559506,17.745611630595583
30,15.607128030542047,9.36772867325634,27.953549796356807,18.85618229715231
31,15.402371996808514,10.045873270986636,27.542373419468348,19.877513994828284
32,20.70430863930334,10.93950636512939,26.687682947708478,20.676161388787914
33,17.347100283090956,11.546251356769098,28.964945875864746,21.54580798079329
34,15.615132078777528,12.235276893929711,28.282500990738562,22.318198670992857
35,19.7160134284921,13.065504083223638,31.66484813729803,23.155697060974706
36,15.95535128640792,13.548087564194045,30.307858211650718,23.974283879525643
37,19.12849048450337,14.192706207505902,29.683865649782174,24.647190789550788
38,15.094639660010076,14.462925693369593,31.050279430995058,25.416389809258394
39,16.65220433942982,14.894928180764092,32.78955580779313,26.164176810739217
40,19.990157203091087,15.507602280168157,31.60314461805381,26.838710940076236
41,21.356351665946377,15.865790172670241,31.622032267650642,27.444212840049737
42,20.50209804424369,16.317038429135426,33.87829028546677,28.07136757205768
43,20.206759148301174,16.69242201875822,34.312014597821296,28.79335344475666
44,20.115032795488826,17.182246005840636,33.45408686368569,29.17984025313944
45,18.041545793095203,17.4516820428531,33.925627318255664,29.80982187873862
46,19.84401619228352,17.718508997782077,35.522949107905205,30.49563147499859
47,20.652822429595414,18.126185767498388,33.06171450768021,30.816671067461037
48,23.98544119124631,18.52340130731186,33.51999722099994,31.15333237453674
49,22.863549059341295,18.939025687499928,35.07605838671692,31.54516877209461
50,18.964572940119165,19.106897932978786,36.3159958040606,31.963291072479798
51,23.463474083282783,19.5099530373025,37.58671273229486,32.46550803812112
52,22.381068095816808,19.59379101012817,39.944555474983666,33.12835166448488
53,22.14541890374713,19.83370694116098,39.27274480004404,33.64374161069385
54,25.083443320769298,20.307122503260565,37.92205063723641,34.125719093018745
55,26.296268859783062,20.636135274825115,38.542670325963684,34.469610202452024
56,26.484770793085524,21.162606250158998,37.254379179610204,34.81693625084999
57,23.345743132449513,21.373468882556303,39.31423523148724,35.29845472993525
58,24.821866911963085,21.859830245153955,39.24599590603941,35.70824055368747
59,26.533050592120063,22.353872557788467,40.680869325942965,36.10280622959496
60,28.26579207762588,22.767654301515204,39.12646653959749,36.478972325672146
61,25.8141616242374,22.99054479942976,41.821502955630734,36.988945860071155
62,26.872174426914977,23.30904861856332,43.95574065397828,37.49281837849672
63,25.514386126816543,23.57442996748909,41.58245931276611,37.85634061424397
64,25.830063791480356,23.860181517288666,42.87341382702536,38.32730696241095
65,30.353956977873338,24.475802076527575,43.792784124280644,38.8206648027122
66,31.957851891149545,25.081493861470875,42.37229116621849,39.163131905627864
67,29.626775431817425,25.530191511581975,43.87576109951952,39.70383423521983
68,32.311058235215214,25.94647236378042,43.961994496060115,40.225934098972836
69,31.56695511609619,26.381642666618166,44.55741725499515,40.70000204238675
70,30.09826388920947,26.93832721407268,43.53260015013274,41.06083225969035
71,32.65980552591224,27.39814378620415,45.34779668791554,41.44888645747139
72,35.56378549977863,28.057279656402244,46.61562597370511,41.78243998240747
73,32.96738877512002,28.59837814997089,48.701714882228266,42.25388848651667
74,36.718688566172126,29.18014041224103,48.33340809955101,42.774456359632396
75,28.89767473684605,29.310210706094182,50.8323049684171,43.38893809175507
76,36.32449011450955,29.802196672165383,46.33720414551772,43.84307934005045
77,35.39240288882679,30.404529659984245,49.59413007304043,44.35707408212811
78,35.150374095222936,30.920955019147236,48.891142569782915,44.839331415315286
79,36.45281760781659,31.416943369932063,52.768250915797005,45.443700494807985
80,32.80429329933682,31.64386843101761,48.1344870956884,45.89410152261253
81,36.83789228562156,32.19505496408682,48.53997272135789,46.230025010898885
82,38.47543084676891,32.77521778507952,49.402335141061904,46.50235473525307
83,41.18568679106693,33.55878281829204,47.25837201332448,46.786150370280986
84,37.64540759522947,34.149550008479494,50.4157841473167,47.16326888629556
85,37.499083808366485,34.50680635000415,50.45149352234305,47.496204356198675
86,38.52756464179962,34.83529198753665,52.42102865843838,47.99864123080967
87,41.75668901062322,35.44178766647694,53.1596031800843,48.46283333483791
88,40.957015528368096,35.87408553113458,56.170341607575715,49.073250690413694
89,39.59158589907973,36.27531707028376,54.98686720568063,49.59472318794796
90,42.00646486734828,36.870727119190704,52.76789465090263,50.05648791298646
91,41.47953554820271,37.31171362030523,52.585169378414356,50.4183565475114
92,43.50427817130613,37.708738253881606,55.29816005746034,50.852483251699155
93,40.42031577232075,38.08138460374163,52.551779401177214,51.04498647764661
94,41.40216715086219,38.31555853297614,58.228125006090124,51.53972232297357
95,41.48193273357924,38.9447714328128,57.42175369830572,51.869194759467995
96,39.52346072793728,39.104719963484186,54.90422751769075,52.297545928076644
97,43.202995870628435,39.49524961257427,53.05722000270052,52.47070042455965
98,43.26943478529626,39.90120264707794,58.52107386432457,52.95219698928673
99,42.87094520951619,40.222109027162915,56.25663113882983,53.126616000438375
100,42.482420681604964,40.70601539627633,58.76918808580565,53.65835104994424
101,40.19000258458911,40.873620911224705,54.14947878081344,53.93882635291702
102,42.2277922010702,41.06123897893976,56.01767260851197,54.26959322628952
103,42.412220778795096,41.12256567832617,57.20365789182451,54.766857520214515
104,41.50304346998694,41.315447472064044,57.41438900381109,55.11678776303925
105,42.77761594400296,41.57937407884587,56.69103530849481,55.42876485234683
106,43.88487804488372,41.84723974900008,58.61874839426587,55.7386508391382
107,46.81118459189898,42.099964528063865,55.83120760112971,55.87223106019047
108,43.336980011650574,42.21896275222799,57.47332946791429,55.9373804532074
109,43.44050904956571,42.41140890975229,57.97257406701462,56.0866657962741
110,42.704328515516195,42.44630209216068,58.679407256190146,56.382241426538485
111,38.935421714098304,42.319096400455464,59.036171188738955,56.70479151705471
112,42.63335155371202,42.27555006957576,55.92162625115865,56.73596482673962
113,42.71569026648964,42.3903187942842,55.21896148111628,56.86932393073657
114,47.42777647178177,42.69159926033018,59.97967022634516,56.95690119174933
115,42.02162149633305,42.71858369846787,58.3413812919629,57.00288257143219
116,42.91524341365859,42.88817283275394,56.4620013898587,57.08077126504058
117,42.151026441358844,42.835574361290455,60.31955694006064,57.4438881119086
118,39.79559762344187,42.66188250319773,57.818681170861474,57.408768477235434
119,44.33696517528437,42.73518350148614,59.55865216330018,57.57386952845896
120,43.481015172035455,42.785113226007674,57.593957822353914,57.515108015286366
121,43.49403894864467,42.95031504421045,60.9024561298575,57.85275688273856
122,40.03847589183289,42.84084922874858,60.29912878653261,58.0668296916396
123,44.61992930821395,42.95123465521952,56.8047181071467,58.04688270240572
124,38.98080865482258,42.8251229144613,58.790767698894896,58.115701637159894
125,42.94263455620431,42.83337384507137,58.14679289073106,58.188489516271716
126,46.14952542002007,42.94660621382819,59.287474507706285,58.22192582194374
127,39.803442688850204,42.596219118675755,55.233324408742945,58.192031662324396
